id_egresado,nombre_egresado,apellido_egresado,fecha_nacimiento,numero_documento,genero,id_tipo_documento,id_lugar_nacimiento
1,Etti,Bonnick,1981-11-02,03-049-7707,F,2,5
2,Christophorus,Lince,1995-01-28,18-728-4253,M,3,1
3,Bernadina,Ockendon,1982-07-20,77-764-8449,F,3,4
4,Ado,Cardenas,1980-06-17,20-568-2446,M,2,3
5,Obed,Duester,1998-10-24,27-498-9763,M,1,1
6,Barrie,Hue,1995-07-01,90-225-2916,F,3,2
7,Sibbie,Rohlfs,1970-11-14,45-139-0073,F,2,5
8,Olivero,Brophy,1976-08-22,78-342-6782,M,3,4
9,Jehanna,Giovannacc@i,1990-04-22,38-896-4732,F,1,4
10,Keven,Conman,1975-11-03,98-531-4902,M,2,3
11,Coretta,Szymoni,1998-12-12,08-830-6970,F,2,3
12,Paige,Fryd,1992-08-25,67-685-5437,F,1,5
13,Zonda,McCree,1992-12-19,99-751-7807,F,1,2
14,Myrvyn,Seabert,1983-07-07,18-734-9172,M,3,2
15,Anne-corinne,Size,1988-12-26,49-576-1772,F,1,2
16,Murvyn,Rames,1975-03-26,05-520-6426,M,3,2
17,Blaine,Ragborne,2002-11-13,34-811-4914,M,3,4
18,Blair,Bosnell,1995-03-12,72-975-9153,F,1,2
19,Viki,Giovannilli,1990-01-29,14-395-2844,F,2,1
20,Svend,Sail,1995-02-19,11-399-3714,M,3,1
21,Andrus,Pirrie,1986-11-05,76-269-8620,M,3,1
22,Marga,MacColl,1985-03-06,74-886-1634,F,2,3
23,Abbot,Velareal,1976-03-29,58-238-9226,M,3,1
24,Peggie,Sheffield,2001-06-09,71-128-3817,F,1,2
25,Lissie,Wedlock,1987-10-23,38-985-1827,F,3,3
26,Dore,Tice,1992-02-02,60-472-8716,M,3,2
27,Granville,Andrysek,1987-05-10,57-720-6982,M,1,2
28,Orlando,Corkell,1976-10-21,33-988-0210,M,2,5
29,Dasi,Bree,1985-08-21,78-458-1548,F,1,5
30,Engracia,Flicker,1972-11-21,47-838-7385,F,2,5
31,Mordecai,Litchfield,1988-02-04,51-052-7148,M,3,3
32,Megan,Tincey,1982-08-08,45-508-6072,F,2,4
33,Ripley,Pithie,1990-05-02,95-712-3024,M,1,5
34,Fabian,O'Dowgaine,1978-01-19,96-847-0934,M,3,2
35,Marje,Allin,1971-05-23,90-830-3840,F,1,2
36,Grace,Sheber,1977-03-11,34-314-9599,M,2,4
37,Rori,Rutty,1973-03-26,64-545-9625,F,3,3
38,Jereme,Salliere,1994-12-26,30-446-4045,M,2,3
