id_profesor,nombre_profesor,apellido_profesor,fecha_nacimiento,numero_documento,id_tipo_documento,id_departamento,id_linea_trabajo
1,Steven,Fluck,1964-09-24,32-337-4078,3,8,5
2,Lesly,Skones,1954-06-30,43-554-1839,3,1,2
3,Ajay,Hawkin,1976-04-17,83-397-0482,1,2,6
4,Janaya,Aylward,1969-08-01,83-076-3523,3,6,4
5,Caresa,Ambrogelli,1976-04-01,81-823-0748,3,6,2
6,Erna,Woolsey,1954-05-24,64-553-2032,3,2,2
7,Veriee,Harrhy,1960-08-26,15-542-9109,1,6,1
8,Melisse,Mustard,1970-12-15,79-589-9272,1,5,2
9,Libby,Lukock,1970-12-03,86-296-7493,2,3,2
10,Vonnie,Lind,1962-10-07,07-779-1609,2,7,2
11,Melessa,Blinman,1973-11-22,67-074-8973,2,2,4
12,Patience,Scoterbosh,1978-09-03,77-034-7507,1,8,2
13,Hasty,Ludye,1960-01-03,49-008-8270,1,4,5
14,Van,Tolchard,1955-03-05,01-339-6129,1,1,6
15,Carrie,Peltz,1974-10-11,19-386-6795,3,2,2
16,Danita,Harsum,1966-10-14,46-218-1737,2,8,4
17,Brigid,Abramovitch,1963-12-27,55-215-7203,2,2,1
18,Tailor,Cornall,1952-02-12,73-835-3185,3,3,4
19,Madeleine,Smeuin,1965-07-26,04-950-1090,2,7,6
20,Cosette,Primarolo,1967-07-08,62-388-3468,3,5,6
21,Kora,Dymocke,1966-10-29,42-741-6604,3,1,1
22,"Dee dee",Cotillard,1969-11-29,50-980-6177,1,8,1
23,Bobbi,Leinthall,1961-12-01,14-342-3353,3,8,3
24,Christopher,Cosford,1957-03-26,93-040-8405,1,1,6
25,Belicia,McIlwrick,1981-03-04,26-542-6460,1,5,3
26,Julita,Davis,1969-05-17,69-778-0793,2,2,6
27,Portia,MacCambridge,1960-10-07,26-583-7825,1,6,5
28,Judye,Bewlay,1974-07-02,59-819-0285,3,1,2
29,Gabriello,Adame,1981-06-03,01-417-9044,3,8,4
30,Etty,Fruen,1950-04-19,03-606-0605,3,7,2
31,Raquela,Morcombe,1955-11-07,27-276-2541,1,6,3
32,Nev,Ramsay,1980-01-03,36-251-9416,2,5,2
33,Cornelia,Gooderson,1974-02-22,40-021-9548,3,2,6
34,Alicia,Lyard,1985-10-16,31-002-4815,2,6,1
35,Charmian,Puleque,1958-01-05,55-518-1159,2,3,3
36,Evangelina,Hellikes,1951-09-02,37-923-4466,3,5,6
37,Dotty,Vivyan,1974-03-10,81-084-2453,3,8,4
38,Minny,Claw,1964-05-10,15-015-6013,3,4,1
39,Stu,McNair,1970-01-01,87-664-2511,2,6,3
40,Kerwin,Samudio,1980-06-07,60-297-4224,2,3,6
41,Greg,Deere,1961-07-21,36-433-9222,2,5,5
42,Ode,Nugent,1978-06-03,22-949-5084,3,2,4
43,Romonda,Ramplee,1961-01-26,57-063-4165,1,7,5
44,Delia,Matusovsky,1973-04-06,70-553-2238,2,2,3
45,Jocelyne,Potkin,1972-09-27,16-004-4465,3,7,2
46,Giovanni,Durber,1985-10-21,94-109-4008,3,5,3
47,Rowland,Dulin,1950-12-19,88-778-0819,1,1,3
48,Bernita,Tumility,1976-05-27,88-338-0668,2,7,4
49,Kylynn,Cattell,1979-05-17,78-388-4806,2,8,1
50,Sisely,"de Keep",1980-01-29,33-471-9356,1,5,2
51,Cristobal,Howison,1970-03-16,60-883-1468,2,2,1
52,Syd,Semken,1983-06-24,77-305-4704,3,3,3
53,Hannie,Lecordier,1965-03-07,05-453-4268,2,2,2
54,Stirling,Sprowson,1985-01-01,07-429-3021,2,8,6
55,Ayn,Neagle,1982-03-01,99-274-7339,2,7,1
56,Clo,Ander,1958-12-25,09-148-8175,1,1,4
57,Renaldo,Marsham,1974-11-25,59-561-5553,2,7,5
58,Deb,Butten,1984-04-10,97-449-9070,2,1,1
59,Blondell,Bottomer,1950-07-05,78-051-2493,1,4,2
60,Halli,Rampage,1963-10-31,83-254-8828,2,2,5
61,Gillan,Joiris,1963-09-28,89-138-5052,3,3,5
62,Dorine,Alecock,1961-10-27,66-481-9293,2,2,5
63,Cindee,Wehden,1952-07-19,05-253-9398,2,5,2
64,Richy,Bradburne,1974-05-15,29-018-4276,1,4,3
65,Ailis,Pattemore,1954-10-11,22-874-6282,1,1,1
66,Ibby,McClifferty,1953-06-28,63-101-4858,2,5,2
67,Martino,Purcer,1953-05-11,06-951-4937,3,4,2
68,Noami,Sooper,1952-02-25,09-748-0612,3,5,2
69,Daisi,Durnall,1978-11-30,36-328-9861,2,3,3
70,Edith,Ghilks,1956-09-09,41-395-8533,1,2,4
71,Domenic,Raiman,1957-04-21,57-123-6270,2,4,3
72,Charmion,"Van Der Weedenburg",1966-01-10,39-046-6156,1,6,3
73,Cele,Gulc,1978-06-22,25-836-8346,1,5,2
74,Collette,Penna,1970-07-13,57-691-2615,1,8,3
75,Rolph,Stebbins,1952-02-04,32-813-1188,1,6,4
76,Ina,Nobbs,1951-05-01,32-675-2361,1,1,2
77,April,Brevitt,1981-04-24,89-712-2990,2,2,6
78,Trish,Saiens,1968-05-23,44-762-7589,3,7,1
79,Oates,Burroughes,1951-12-08,72-517-6131,1,5,1
80,Marcelle,Kersley,1969-12-22,12-602-6314,2,5,4
81,Jaimie,Methven,1951-06-08,12-398-2909,1,5,5
82,Antonetta,Pinnock,1979-05-17,51-658-6932,3,8,5
